q19 = [0.9671072959899902, 0.22143840789794922]
q20 = [7.86391544342041, 2.3121280670166016]
q5 = [8.778912544250488, 12.140086889266968]
q13 = [11.448169946670532, 10.230684280395508]
q6 = [13.292178392410278, 8.877915620803833]
q21 = [17.279947996139526, 10.241087913513184]
q4 = [15.571472644805908, 20.379982233047485]
q11 = [22.33326506614685, 27.323878526687622]
q1 = [56.026514768600464, 20.103158712387085]
q17 = [44.20461630821228, 48.278533935546875]
q8 = [102.49367070198059, 5.934570074081421]
q14 = [118.17346596717834, 8.700822591781616]
q16 = [118.62703657150269, 13.084513187408447]
q7 = [128.80745029449463, 10.533988952636719]
q2 = [123.35632491111755, 21.774073362350464]
q12 = [139.53698563575745, 14.358491659164429]
q9 = [145.72701811790466, 17.559303760528564]
q10 = [157.63267421722412, 13.062971830368042]
q3 = [163.73981070518494, 13.202522039413452]
q18 = [190.42257714271545, 58.70565986633301]